iter	Passed	Remaining
412	3062	4352
413	3068	4343
414	3076	4336
415	3083	4328
416	3091	4322
417	3098	4313
418	3105	4306
419	3111	4297
420	3117	4287
421	3125	4280
422	3132	4272
423	3139	4265
424	3145	4256
425	3153	4248
426	3159	4240
427	3165	4230
428	3173	4223
429	3178	4214
430	3187	4207
431	3194	4199
432	3201	4191
433	3207	4183
434	3213	4173
435	3221	4166
436	3227	4158
437	3234	4150
438	3242	4143
439	3250	4136
440	3257	4128
441	3262	4119
442	3270	4112
443	3277	4104
444	3285	4097
445	3292	4090
446	3300	4083
447	3306	4074
448	3312	4065
449	3320	4058
450	3326	4049
451	3333	4041
452	3339	4032
453	3345	4023
454	3352	4015
455	3358	4006
456	3365	3999
457	3371	3990
458	3378	3981
459	3385	3974
460	3391	3965
461	3398	3958
462	3404	3949
463	3411	3941
464	3432	3949
465	3445	3948
466	3453	3941
467	3463	3936
468	3469	3928
469	3476	3920
470	3482	3911
471	3492	3906
472	3498	3897
473	3504	3889
474	3512	3881
475	3518	3873
476	3525	3865
477	3531	3856
478	3537	3847
479	3544	3839
480	3550	3830
481	3558	3823
482	3564	3815
483	3572	3808
484	3578	3799
485	3585	3791
486	3593	3785
487	3599	3776
488	3607	3769
489	3613	3760
490	3620	3753
491	3628	3746
492	3634	3737
493	3641	3730
494	3647	3721
495	3655	3714
496	3662	3706
497	3670	3699
498	3676	3691
499	3682	3682
500	3690	3675
501	3696	3666
502	3704	3660
503	3710	3652
504	3718	3644
505	3725	3636
506	3731	3628
507	3739	3621
508	3745	3612
509	3754	3607
510	3761	3599
511	3770	3593
512	3777	3586
513	3785	3579
514	3791	3570
515	3798	3562
516	3805	3554
517	3811	3546
518	3818	3539
519	3824	3530
520	3832	3523
521	3838	3514
522	3845	3507
523	3853	3500
524	3859	3491
525	3867	3484
526	3873	3476
527	3879	3467
528	3885	3459
529	3892	3451
530	3899	3444
531	3906	3436
532	3914	3429
533	3921	3422
534	3929	3414
535	3936	3407
536	3943	3399
537	3951	3393
538	3958	3385
539	3967	3379
540	3974	3371
541	3982	3365
542	3990	3358
543	3999	3352
544	4006	3344
545	4015	3338
546	4022	3330
547	4031	3325
548	4037	3316
549	4045	3309
550	4051	3301
551	4058	3293
552	4065	3285
553	4071	3277
554	4078	3270
555	4084	3262
556	4092	3254
557	4098	3246
558	4104	3238
559	4111	3230
560	4118	3222
561	4125	3214
562	4131	3206
563	4137	3198
564	4146	3192
565	4152	3184
566	4159	3176
567	4166	3168
568	4172	3160
569	4179	3152
570	4185	3144
571	4193	3137
572	4199	3129
573	4208	3123
574	4214	3114
575	4220	3106
576	4230	3101
577	4240	3096
578	4248	3088
579	4256	3082
580	4264	3075
581	4273	3069
582	4280	3061
583	4288	3054
584	4294	3046
585	4301	3038
586	4308	3031
587	4315	3023
588	4323	3016
589	4329	3008
590	4336	3001
591	4343	2993
592	4349	2985
593	4357	2978
594	4363	2969
595	4370	2962
596	4377	2954
597	4383	2947
598	4390	2939
599	4398	2932
600	4405	2924
601	4412	2917
602	4419	2909
603	4426	2901
604	4432	2893
605	4439	2886
606	4445	2878
607	4453	2871
608	4459	2863
609	4467	2856
610	4475	2849
611	4483	2842
612	4489	2834
613	4495	2826
614	4503	2819
615	4509	2811
616	4518	2804
617	4524	2796
618	4531	2789
619	4538	2781
620	4544	2773
621	4551	2766
622	4557	2758
623	4566	2751
624	4572	2743
625	4579	2736
626	4585	2728
627	4592	2720
628	4599	2713
629	4605	2705
630	4615	2698
631	4621	2690
632	4630	2684
633	4638	2677
634	4646	2670
635	4652	2662
636	4658	2654
637	4666	2647
638	4672	2639
639	4680	2632
640	4686	2624
641	4694	2617
642	4701	2610
643	4707	2602
644	4714	2595
645	4720	2586
646	4729	2580
647	4737	2573
648	4745	2566
649	4751	2558
650	4758	2550
651	4765	2543
652	4772	2536
653	4781	2529
654	4788	2522
655	4796	2515
656	4802	2507
657	4810	2500
658	4816	2492
659	4824	2485
660	4830	2477
661	4836	2469
662	4844	2462
663	4850	2454
664	4858	2447
665	4864	2439
666	4871	2431
667	4878	2424
668	4884	2416
669	4892	2409
670	4898	2401
671	4905	2394
672	4911	2386
673	4918	2378
674	4926	2371
675	4932	2364
676	4940	2357
