iter	Logloss
0	0.6597326273
1	0.6283195127
2	0.5999369034
3	0.5750611705
4	0.551706746
5	0.5306523247
6	0.5114328749
7	0.4934435841
8	0.478064534
9	0.4628524261
10	0.4491974102
11	0.4376018601
12	0.4280606759
13	0.4175181485
14	0.4079737115
15	0.3985034029
16	0.3904845829
17	0.3828014702
18	0.3760835058
19	0.36999396
20	0.3641117987
21	0.357591284
22	0.352630159
23	0.3479784259
24	0.3439434209
25	0.3408955662
26	0.3377675109
27	0.3337108962
28	0.3300785912
29	0.3259057876
30	0.3234509199
31	0.3207735575
32	0.3184813304
33	0.3160872416
34	0.3127853192
35	0.310255761
36	0.3081371358
37	0.3053517339
38	0.3031429033
39	0.3014566878
40	0.2995441669
41	0.2974292221
42	0.2957022802
43	0.2946193002
44	0.293256681
45	0.2919873844
46	0.2906510019
47	0.2893488759
48	0.2886272334
49	0.2877364243
50	0.2861244993
51	0.285372636
52	0.2841632949
53	0.2832974442
54	0.281761366
55	0.2801130487
56	0.2786732918
57	0.277635345
58	0.276877177
59	0.2761873715
60	0.2755158024
61	0.2746627818
62	0.2738663092
63	0.2728619922
64	0.272241874
65	0.2716556187
66	0.2710767203
67	0.2705423248
68	0.2698682058
69	0.269336953
70	0.2685697261
71	0.267871653
72	0.2670439637
73	0.2663982828
74	0.2653094535
75	0.2642456248
76	0.2633983861
77	0.2628941586
78	0.2624779847
79	0.2613105899
80	0.2607118377
81	0.2603345952
82	0.2598819598
83	0.2594319601
84	0.2589894167
85	0.2585882053
86	0.2580586206
87	0.2573847688
88	0.2567490287
89	0.2562557785
90	0.2558437571
91	0.2552192624
92	0.2548186314
93	0.2544487759
94	0.2538144085
95	0.2528372312
96	0.2525337991
97	0.2523582447
98	0.251699237
99	0.2513015357
100	0.2510058217
101	0.250647617
102	0.2503179511
103	0.2500743797
104	0.2496300192
105	0.2492774383
106	0.2488990281
107	0.2485162075
108	0.2481492897
109	0.2478085121
110	0.2475106191
111	0.2471743116
112	0.2468788543
113	0.2464053525
114	0.2460494945
115	0.2456185269
116	0.2453114603
117	0.2449366056
118	0.2446459546
119	0.244283984
120	0.2440544618
121	0.2436487641
122	0.2431975421
123	0.2429055455
124	0.2425130975
125	0.2421368883
126	0.2418016907
127	0.241278856
128	0.2410485478
129	0.2406429406
130	0.2401855391
131	0.2396769309
132	0.2393957961
133	0.239152549
134	0.2387810702
135	0.2382938635
136	0.2380622181
137	0.2379413949
138	0.2375357118
139	0.237179998
140	0.2369055634
141	0.2365951777
142	0.2363486221
143	0.2360751197
144	0.2358120561
145	0.235490305
146	0.2352423726
147	0.2349777791
148	0.2345949511
149	0.2344053664
150	0.2340747649
151	0.2338283944
152	0.2335979056
153	0.2333513214
154	0.2330791503
155	0.2325950983
156	0.2323995086
157	0.2321990937
158	0.2317852401
159	0.2316500284
160	0.2314665863
161	0.2312375089
162	0.2309916263
163	0.230774963
164	0.2306497523
165	0.2303985313
166	0.2301605506
167	0.2298364057
168	0.2294892232
169	0.2291774564
170	0.2289205634
171	0.2286487111
172	0.2284522016
173	0.2283135085
174	0.227948767
175	0.2276931379
176	0.227291229
177	0.2270387361
178	0.2268924627
179	0.2266649225
180	0.2264902493
181	0.2263224127
182	0.2261146579
183	0.2258173628
184	0.2256412977
185	0.225445374
186	0.2252778964
187	0.2250991451
188	0.2247313953
189	0.224502219
190	0.2242285119
191	0.2239864384
192	0.2238452386
193	0.2237221347
194	0.2234855448
195	0.223357719
196	0.223162916
197	0.2230138741
198	0.2228000199
199	0.2225720847
200	0.2224586186
201	0.2222325352
202	0.2219609907
203	0.2215629683
204	0.2214075404
205	0.2212627198
206	0.2209553966
207	0.2207081668
208	0.2205729129
209	0.2204735843
210	0.2200498857
211	0.219784728
212	0.2195413988
213	0.2193093991
214	0.2191049518
215	0.2188405637
216	0.2186068615
217	0.2182525426
218	0.2180741879
219	0.2178971545
220	0.2175943979
221	0.2173871721
222	0.2170442553
223	0.2169808763
224	0.2168408418
225	0.2166831831
226	0.216536949
227	0.2164561326
228	0.2162452453
229	0.2160514123
230	0.2158337949
231	0.2156010161
232	0.2153659936
233	0.2152013922
234	0.2151043332
235	0.2148821714
236	0.2145953284
237	0.2143759381
238	0.2142697419
239	0.2141157802
240	0.2139590208
241	0.2136942172
242	0.21352601
243	0.2132668034
244	0.2130722195
245	0.2129019985
246	0.2127261171
247	0.2124666562
248	0.2123349024
249	0.2121032177
250	0.2118994369
251	0.2117664495
252	0.2115228996
253	0.2112945234
254	0.2109963328
255	0.2108664652
256	0.2106923024
257	0.2105382767
258	0.2104433568
259	0.2102247904
260	0.2100392991
261	0.2098387099
262	0.2096253844
263	0.2095413611
264	0.2094230569
265	0.2091839681
266	0.2089330008
267	0.2087614131
268	0.2085517487
